source,text,rating,date,url
"playstore","Been using this for YEARS, it's pretty epic, cool and awesome but what a shame I don't have premium lol","5","2026-06-18T10:01:29.105Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=9e8e4b12-3e2c-49ae-aa62-51c48d6bc65a"
"playstore","best player in Pakistan","2","2026-06-18T09:55:58.702Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=7e2c089e-3326-4314-9786-a92b3bdd7dbd"
"playstore","when I lisen hanuman ji song single song after no one song available continue to hanuman bhajan amend it then we will give 5 star.","2","2026-06-18T09:52:45.213Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=f882c5ec-bd13-4b76-8f05-8fee3bb17e65"
"playstore","App works great, the Roku app has some problems opening cleanly and consistently which is a shame for how much I use it","4","2026-06-18T09:51:41.463Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=96b7510c-2c61-43cc-9903-367495822b8d"
"playstore","It's great trust me✨","5","2026-06-18T09:51:34.256Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=b9a6a545-c928-4383-b938-f21f212b350b"
"playstore","I can't hear any songs because it's premium but just for a month that's half my salary what is this app YT music is better. UNINSTALLED","1","2026-06-18T09:50:15.754Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=cead8d6f-3fc6-4eb6-8d33-e3a64c291049"
"playstore","We non premium listener hear plenty of ads, minutes at most, it's disruptive, repetetive, and annoying. Atleast make the selection of music unlimited it's the least you can do. If i discover other app that offers free music with free selection of music, I will replace this app with no hesitation. And of course you don't care even though you make a lot of money just us listening to the ads you make us listen","1","2026-06-18T09:50:02.916Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=d317e9bd-6cb8-429c-8530-c616cb34de9a"
"playstore","Got too expensive, used to be my daily driver but now I'm using apple music. Same service at a cheaper cost.","2","2026-06-18T09:44:52.220Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=ee22e009-1482-4d69-843d-302532062dc5"
"playstore","will steal ur money and not give u ur subscription","1","2026-06-18T09:37:52.154Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=691e82c2-bed9-4b44-be17-a31e956f0f6b"
"playstore","too many ads in between music 😞 ads kills the vibes 😔 too obsessed with this app","2","2026-06-18T09:35:47.436Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=b1c9a4de-610d-4384-bb39-64a065e0fd0c"
"playstore","all was asking primiem lisning very badddddddd👿👿👿👿","1","2026-06-18T09:35:46.251Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=91756b51-f833-439f-a351-b3d4bc611f35"
"playstore","not f2p friendly","1","2026-06-18T09:29:32.330Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=fede2e0c-0232-4b88-8204-ca0e92a6df43"
"playstore","they really want you to get premium and if not ur gonna be at a big disadvantage like not having songs play in ur playlist and insert they do similar songs","3","2026-06-18T09:28:10.287Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=b9b46690-a720-4c87-87ba-9602b819bc35"
"playstore","stop forcing new widgit","1","2026-06-18T09:27:28.299Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=2e728928-15d8-4f19-8fc0-eb30d6fde547"
"playstore","it's cool love the songs you added Spotify","4","2026-06-18T09:25:17.612Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=a39c463a-a053-44f8-a0d9-31b9461465e0"
"playstore","this app does not deserve one star","1","2026-06-18T09:25:01.465Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=4bb900f3-0d1f-4aae-856d-66fb7a5df751"
"playstore","I don't know what to say.. but If these ads come back again and again.. I will start downloading songs from other platforms","1","2026-06-18T09:24:34.410Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=0614d8ab-1eed-484b-9802-3e52fae45be6"
"playstore","Removed perfectly functional widget for one that doesn't work whatsoever. Don't waste your money.","1","2026-06-18T09:19:17.840Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=53b19489-bb45-4994-b0b1-900080134661"
"playstore","I LOVE THIS APP 😊😁❣️🤍","5","2026-06-18T09:15:55.319Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=3408b462-5215-43d9-b8be-701b94c0e55c"
"playstore","i lik I like it","5","2026-06-18T09:12:16.830Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=885b805e-6b46-4256-a78b-ac6c94e6ce19"
