source,text,rating,date,url
"spotify-community","How can I watch podcasts on Spotify? Not listen.. One day I accidentally touched my screen and the video version of the podcast I was listening to popped up. I have never been able to access video again. How do I WATCH podcasts v. Listen to them on Spotify? Visitor 2025-02-13 3:14:04 PM 2 weeks ago Spencerblalock Casual Listener * *","","","https://community.spotify.com/t5/Content-Questions/How-can-I-watch-podcasts-on-Spotify-Not-listen/td-p/6711195"
"spotify-community","Solved!!_ How to listen to audiobooks in a different language. PlanPremiumCountryUSADeviceManyOperating SystemMany My Question or IssueMy Spotify account is based in the USA though I am learning Swedish and would like to listen to audiobooks in Swedish. Searching for a book in Swedish doesn't yield good results.... Newbie 2024-06-19 5:44:05 AM 2026-04-24 12:50:37 AM loach505 Newbie * * * *","","","https://community.spotify.com/t5/Content-Questions/How-to-listen-to-audiobooks-in-a-different-language/td-p/6143481"
"spotify-community","Solved!!_ Where can i find my most played songs. hey im kinda interested what my spotify wrapped stats are this year so far, tried searching but all i found was random problems Roadie 2024-05-31 5:02:00 PM 2025-07-19 1:01:33 AM LongTimeCustomer Casual Listener * *","","","https://community.spotify.com/t5/Content-Questions/Where-can-i-find-my-most-played-songs/td-p/6105746"
"spotify-community","Superuser Contribution_ Report Content form not working for podcasts. This is an ongoing issue, with the ""Report Sexual Content"" form. All versions of the report form are affected by this, so alternative links are not the solution. Neither are different browsers, incognito mode, clearing cache, using Ctrl when copying ... Roadie This is an ongoing issue, with the ""Report Sexual Content"" form. All versions of the report form are affected by this, so alternative links are not the solution. Neither are different browsers, i... 2025-12-03 8:26:16 AM 5 hours ago An_Oblivion Roadie explicit content Podcasts Report Form Sexual Content * *","","","https://community.spotify.com/t5/Content-Questions/Report-Content-form-not-working-for-podcasts/td-p/7242243"
"spotify-community","New feature enables anyone to steal a mixed playlist. PlanPremiumCountryUKDeviceiMac My Question or IssueHi I want to discuss a new feature in mixed playlists that I discovered by accident. I discovered that someone can entirely duplicate someone else's playlist - with custom transitions included - by m... Newbie Country UK Device iMac My Question or Issue Hi I want to discuss a new feature in mixed playlists that I discovered by accident. I discovered that someone ca... yesterday * * * *","","","https://community.spotify.com/t5/Content-Questions/New-feature-enables-anyone-to-steal-a-mixed-playlist/td-p/7476303"
"spotify-community","Superuser Contribution_ Songs and albums originally in Japanese are now displayed in Romaji. Country Malaysia My Question or Issue Even my Spotify and whole system is in Japanese, Spotify decides to translate Japanese title into English. I don't need this kind of useless translation.Even worse, while Spotify decides to translate... Regular Country Malaysia My Question or Issue Even my Spotify and whole system is in Japanese, Spotify decides to translate Japanese title into English. I don't need this kind... 2025-11-25 4:06:05 AM yesterday Yordan Moderator * *","","","https://community.spotify.com/t5/Content-Questions/Songs-and-albums-originally-in-Japanese-are-now-displayed-in/td-p/7237366"
"spotify-community","Solved!!_ _Superuser Contribution_ No Sagittarius Cosmic Playlist?. PlanDuo PremiumCountryUSADeviceiPhone 11 ProOperating SystemiOS 16.6.1 My Question or IssueWhy is there not a cosmic playlist for the astrological sign of Sagittarius?? I feel very left out and considering I pay for this monthly, I’d appreciate havin... Casual Listener Premium Country USA Device iPhone 11 Pro Operating System iOS 16.6.1 My Question or Issue Why is there not a cosmic playlist for the astrological sign of Sagittarius?? I fee... 2023-10-01 8:27:47 PM yesterday Joeyxotwod Visitor * *","","","https://community.spotify.com/t5/Content-Questions/No-Sagittarius-Cosmic-Playlist/td-p/5644766"
"spotify-community","Dj no longer pronounced artist names correctly. I just noticed recently the dj has started messing up artist names. Previously bbno$ was pronounced ""baby no money"" which I believe is correct, recently the dj pronounced it ""b no dollars"" similarly with blackgriph0n, instead of ""black griphon"" it wa... Visitor I just noticed recently the dj has started messing up artist names. Previously bbno$ was pronounced ""baby no money"" which I believe is correct, recently the dj pronounced it ""b no dollars"" simi... 2026-05-01 9:49:38 PM yesterday raginghippo14 Visitor * *","","","https://community.spotify.com/t5/Content-Questions/Dj-no-longer-pronounced-artist-names-correctly/td-p/7424143"
"spotify-community","Superuser Contribution_ New Feature or Question: Adding a single song to multiple playlists. PlanpremiumCountry DevicePCOperating Systemwindows My Question or IssueWhen adding a single song to multiple playlists in the desktop application for windows, I have to go through the entire process - click the three buttons, select the add option, f... Visitor Country Device PC Operating System windows My Question or Issue When adding a single song to multiple playlists in the desktop application for windows, I have to ... 2025-07-30 10:23:05 PM yesterday Vasil Moderator * *","","","https://community.spotify.com/t5/Content-Questions/New-Feature-or-Question-Adding-a-single-song-to-multiple/td-p/7071332"
"spotify-community","Superuser Contribution_ Song audio overwritten with different song. PlanPremiumCountry Device Operating System My Question or IssueI tried to play a song I have saved and downloaded, lower one's Eyes by ぬゆり, and the audio of will stetsons cover played instead. This repeated when playing the song from the artist, when... Music Fan Country Device Operating System My Question or Issue I tried to play a song I have saved and downloaded, lower one's Eyes by ぬゆり, and the audio of will stet... 2025-08-23 1:03:41 AM yesterday imsoirritated Visitor * *","","","https://community.spotify.com/t5/Content-Questions/Song-audio-overwritten-with-different-song/td-p/7101010"
"spotify-community","Superuser Contribution_ Songs I actually listen to a lot not appearing in On Repeat?. Country USA Device Dell Inspiron 15 Laptop My Question or Issue Songs that I've been listening to repeatedly (specifically songs from the 2003 Wicked Soundtrack & the anniversaries) Are not appearing on my On Repeat, whereas songs I've only... Casual Listener Country USA Device Dell Inspiron 15 Laptop My Question or Issue Songs that I've been listening to repeatedly (specifically songs from the 2003 Wicked Soundtr... 2024-12-07 10:02:12 PM yesterday goodbyekarma Casual Listener * *","","","https://community.spotify.com/t5/Content-Questions/Songs-I-actually-listen-to-a-lot-not-appearing-in-On-Repeat/td-p/6569242"
